Jawatan,Gred
Pegawai Syariah,LS9
Pegawai Syariah,S9
Pegawai Tadbir,N10
Pegawai Tadbir,N12
Pegawai Tadbir,N13
Pegawai Tadbir,N14
Pegawai Tadbir,N2
Pegawai Tadbir,N9
Pegawai Tadbir,NA41
Pegawai Tadbir,NA44
Pegawai Tadbir,NA48
Pegawai Tadbir,NA52
Pegawai Tadbir,NA54
Pegawai Tadbir,S10
Pegawai Tadbir,S9
Pegawai Tadbir,SA44
Pegawai Tadbir,VU02
Pegawai Tadbir,VU04
Pegawai Tadbir,VU06
Pegawai Tadbir,VU07
Pegawai Tadbir,VU7
Pegawai Teknologi Makanan,C9
Pegawai Teknologi Maklumat,F10
Pegawai Teknologi Maklumat,F12
Pegawai Teknologi Maklumat,F13
Pegawai Teknologi Maklumat,F14
Pegawai Teknologi Maklumat,F9
Pegawai Teknologi Maklumat,FA41
Pegawai Undang-undang,AA48
Pegawai Undang-undang,L10
Pegawai Undang-undang,L12
Pegawai Undang-undang,L13
Pegawai Undang-undang,L14
Pegawai Undang-undang,L9
Pegawai Undang-undang,LA41
Pegawai Undang-undang,LA48
Pegawai Undang-undang,LA52
Pegawai Undang-undang,LS9
Pegawai Undang-undang,N9
Pegawai Undang-undang,VU03
Pegawai Undang-undang,VU05
Pegawai Undang-undang,VU7
Pegawai Veterinar,GV10
Pegawai Veterinar,GV12
Pegawai Veterinar,GV13
Pegawai Veterinar,GV14
Pegawai Veterinar,GV52
Pegawai Veterinar,GV9
Pekerja Awam,AA01
Pekerja Awam,H1
Pekerja Awam,HA11
Pekerja Awam,RA01
Pekerja Awam,RA04
Pekerja Awam Khas,HA11
Pekerja Awam Khas,RA03
Pekerja Awam Khas,RA06
Pelukis Pelan,J1
Pelukis Pelan,J2
Pelukis Pelan,J3
Pelukis Pelan,JA1
Pelukis Pelan,JA19
Pelukis Pelan,JA22
Pelukis Pelan (Kejuruteraan Awam)/Penolong Jurutera,J1
Pelukis Pelan (Kejuruteraan Awam)/Penolong Jurutera,J2
Pelukis Pelan (Kejuruteraan Awam)/Penolong Jurutera,J3
Pelukis Pelan (Kejuruteraan Awam)/Penolong Jurutera,J5
Pelukis Pelan (Kejuruteraan Awam)/Penolong Jurutera,JA1
Pelukis Pelan (Kejuruteraan Awam)/Penolong Jurutera,JA19
Pelukis Pelan (Kejuruteraan Awam)/Penolong Jurutera,JA22
Pelukis Pelan (Kejuruteraan Awam)/Penolong Jurutera,JA26
Pelukis Pelan (Seni Bina)/Penolong Pegawai Seni Bina,J1
Pelukis Pelan (Seni Bina)/Penolong Pegawai Seni Bina,J2
Pelukis Pelan (Seni Bina)/Penolong Pegawai Seni Bina,J5
Pelukis Pelan (Seni Bina)/Penolong Pegawai Seni Bina,J6
Pelukis Pelan (Seni Bina)/Penolong Pegawai Seni Bina,J7
Pelukis Pelan (Seni Bina)/Penolong Pegawai Seni Bina,JA1
Pelukis Pelan (Seni Bina)/Penolong Pegawai Seni Bina,JA19
Pelukis Pelan (Seni Bina)/Penolong Pegawai Seni Bina,JA22
Pelukis Pelan (Seni Bina)/Penolong Pegawai Seni Bina,JA29
Pelukis Pelan Rendah,H1
Pemaju Masyarakat,S1
Pemaju Masyarakat,SA19
Pemaju Mukim,S1
Pemaju Mukim,SA19
Pemandu Kenderaan,H1
Pemandu Kenderaan,H11
Pemandu Kenderaan,HA11
Pemandu Kenderaan,HA14
Pemandu Kenderaan,RA03
Pemandu Kenderaan,RA06
Pemandu/ Operator Jentera Pemunggah,HA11
Pembantu Akauntan,W1
Pembantu Akauntan,W2
Pembantu Akauntan,W3
Pembantu Akauntan,WA19
Pembantu Am Pejabat,H1
Pembantu Am Pejabat,HA11
Pembantu Am Pejabat,NA01
Pembantu Am Pejabat,NA04
Pembantu Arkib,S1
Pembantu Arkib,S2
Pembantu Arkib,SA19
Pembantu Awam,H1
Pembantu Awam,H11
Pembantu Awam,HA11
Pembantu Awam,HA14
Pembantu Awam,N1
Pembantu Awam,NA11
Pembantu Awam,RA01
Pembantu Belia Dan Sukan,SA19
Pembantu Geosains,C1
Pembantu Geosains,C2
Pembantu Hal Ehwal Islam,S1
Pembantu Hal Ehwal Islam,S2
Pembantu Hal Ehwal Islam,SA19
Pembantu Hidupan Liar,G1
Pembantu Hidupan Liar,G2
Pembantu Hidupan Liar,G3
Pembantu Hidupan Liar,GA11
Pembantu Hidupan Liar,GA14
Pembantu Hidupan Liar,GA19
Pembantu Hidupan Liar,GA22
Pembantu Hidupan Liar,GA26
Pembantu Juruaudit,W1
Pembantu Juruaudit,W3
Pembantu Juruaudit,WA19
Pembantu Kemahiran,H1
Pembantu Kemahiran,H2
Pembantu Kemahiran,H3
Pembantu Kemahiran,HA19
Pembantu Kemahiran,HA22
Pembantu Kemahiran,HA26
Pembantu Keselamatan,KP1
Pembantu Keselamatan,KP11
Pembantu Keselamatan,KP14
Pembantu Kesihatan Awam,H1
Pembantu Kesihatan Awam,U1
Pembantu Khidmat Am,H1
Pembantu Khidmat Am,H11
Pembantu Khidmat Am,H2
Pembantu Khidmat Am,HA11
Pembantu Khidmat Am,KP1
Pembantu Khidmat Am,KR14
Pembantu Khidmat Am,L3
Pembantu Khidmat Am,N1
Pembantu Khidmat Am,NA01
Pembantu Khidmat Am,R1
Pembantu Khidmat Am,S1
Pembantu Khidmat Am,Y10
Pembantu Laut,A1
Pembantu Laut,A2
Pembantu Laut,AA19
Pembantu Laut,AA22
Pembantu Makmal,C1
Pembantu Makmal,C2
Pembantu Makmal,C3
Pembantu Makmal,CA19
Pembantu Muzium,S1
Pembantu Muzium,S2
Pembantu Muzium,S3
Pembantu Muzium,SA19
Pembantu Operasi,H1
Pembantu Operasi,HA11
Pembantu Operasi,N1
Pembantu Operasi,N11
Pembantu Operasi,NA11
Pembantu Operasi,NA14
Pembantu Operasi,NA19
Pembantu Pegawai Latihan,E1
Pembantu Pegawai Latihan,E2
Pembantu Pegawai Latihan,EA22
Pembantu Pegawai Latihan Vokasional,DV1
Pembantu Pegawai Latihan Vokasional,DV19
Pembantu Pembangunan Masyarakat,S1
Pembantu Pembangunan Masyarakat,S2
Pembantu Pembangunan Masyarakat,SA19
Pembantu Penerangan,S1
Pembantu Penerbitan,NA19
Pembantu Penerbitan,NA22
Pembantu Penguatkuasa,HA11
Pembantu Penguatkuasa,K1
Pembantu Penguatkuasa,K2
Pembantu Penguatkuasa,KP1
Pembantu Penguatkuasa,KP19
Pembantu Penguatkuasa,KP2
Pembantu Penguatkuasa,KP22
Pembantu Penguatkuasa,KP26
Pembantu Penguatkuasa,KP3
Pembantu Penguatkuasa,N1
Pembantu Penguatkuasa,NA19
Pembantu Penguatkuasa Rendah,NA11
Pembantu Penilaian,N3
Pembantu Penilaian,W1
Pembantu Penilaian,W2
Pembantu Penilaian,W3
Pembantu Penilaian,WA19
Pembantu Penilaian,WA22
Pembantu Pentadbir Tanah/ Penolong Pentadbir Tanah,NT1
Pembantu Pentadbir Tanah/ Penolong Pentadbir Tanah,NT19
Pembantu Pentadbir Tanah/ Penolong Pentadbir Tanah,NT2
Pembantu Pentadbir Tanah/ Penolong Pentadbir Tanah,NT22
Pembantu Pentadbir Tanah/ Penolong Pentadbir Tanah,NT26
Pembantu Pentadbir Tanah/ Penolong Pentadbir Tanah,NT29
Pembantu Pentadbir Tanah/ Penolong Pentadbir Tanah,NT3
Pembantu Pentadbir Tanah/ Penolong Pentadbir Tanah,NT32
Pembantu Pentadbir Tanah/ Penolong Pentadbir Tanah,NT5
Pembantu Pentadbir Tanah/ Penolong Pentadbir Tanah,NT6
Pembantu Penyediaan Makanan,N1
Pembantu Penyediaan Makanan,N2
Pembantu Penyediaan Makanan,NA19
Pembantu Penyelidik,GA22
Pembantu Penyelidik,Q1
Pembantu Penyelidik,Q2
Pembantu Penyelidik,Q3
Pembantu Penyelidik,QA19
Pembantu Perawatan Kesihatan,U1
Pembantu Perawatan Kesihatan,UA03
Pembantu Perikanan,G1
Pembantu Perikanan,G2
Pembantu Perikanan,G3
Pembantu Perikanan,GA19
Pembantu Pertanian,G2
Pembantu Pertanian,GA19
Pembantu Pertanian,GA22
Pembantu Pustakawan,S1
Pembantu Pustakawan,S2
Pembantu Pustakawan,S3
Pembantu Pustakawan,SA19
Pembantu Rendah Hal Ehwal Islam,S1
Pembantu Setiausaha Pejabat/Setiausaha Pejabat,N1
Pembantu Setiausaha Pejabat/Setiausaha Pejabat,N2
Pembantu Setiausaha Pejabat/Setiausaha Pejabat,N3
Pembantu Setiausaha Pejabat/Setiausaha Pejabat,N4
Pembantu Setiausaha Pejabat/Setiausaha Pejabat,N5
Pembantu Setiausaha Pejabat/Setiausaha Pejabat,N6
Pembantu Setiausaha Pejabat/Setiausaha Pejabat,NA19
Pembantu Setiausaha Pejabat/Setiausaha Pejabat,NA22
Pembantu Setiausaha Pejabat/Setiausaha Pejabat,NA29
Pembantu Setiausaha Pejabat/Setiausaha Pejabat,NA30
Pembantu Setiausaha Pejabat/Setiausaha Pejabat,NA32
Pembantu Tadbir (Kewangan),N1
Pembantu Tadbir (Kewangan),W1
Pembantu Tadbir (Kewangan),W2
Pembantu Tadbir (Kewangan),W3
Pembantu Tadbir (Kewangan),WA1
Pembantu Tadbir (Kewangan),WA19
Pembantu Tadbir (Kewangan),WA22
Pembantu Tadbir (Perkeranian/ Operasi),H1
Pembantu Tadbir (Perkeranian/ Operasi),N1
Pembantu Tadbir (Perkeranian/ Operasi),N2
Pembantu Tadbir (Perkeranian/ Operasi),N3
Pembantu Tadbir (Perkeranian/ Operasi),N5
Pembantu Tadbir (Perkeranian/ Operasi),N6
Pembantu Tadbir (Perkeranian/ Operasi),NA01
Pembantu Tadbir (Perkeranian/ Operasi),NA11
Pembantu Tadbir (Perkeranian/ Operasi),NA17
Pembantu Tadbir (Perkeranian/ Operasi),NA19
Pembantu Tadbir (Perkeranian/ Operasi),NA22
Pembantu Tadbir (Perkeranian/ Operasi),NA26
Pembantu Tadbir (Perkeranian/ Operasi),WA19
Pembantu Tadbir (Undang-undang),L1
Pembantu Tadbir Rendah,N1
Pembantu Tadbir Rendah,NA11
Pembantu Tadbir Tanah,NT1
Pembantu Tadbir Tanah,NT19
Pembantu Tadbir Tanah,NT2
Pembantu Tadbir Tanah,NT22
Pembantu Taman/Ladang,GA19
Pembantu Veterinar,G2
Pembantu Veterinar/ Penolong Pegawai Veterinar,G1
Pembantu Veterinar/ Penolong Pegawai Veterinar,G2
Pembantu Veterinar/ Penolong Pegawai Veterinar,G5
Pembantu Veterinar/ Penolong Pegawai Veterinar,G6
Pembantu Veterinar/ Penolong Pegawai Veterinar,GA19
Pembantu Veterinar/ Penolong Pegawai Veterinar,GA22
Pemelihara Hutan,G10
Pemelihara Hutan,G12
Pemelihara Hutan,G13
Pemelihara Hutan,G14
Pemelihara Hutan,G9
Pemelihara Hutan,VU6
Pemimpin Pembangunan Masyarakat,S13
Pengawal Keselamatan,K1
Pengawal Keselamatan,KP1
Pengawal Keselamatan,KP11
Pengawal Keselamatan,KP14
Pengawas Hutan,G1
Pengawas Hutan,GA11
Pengawas Hutan,GA19
Penolong Akauntan,W5
Penolong Akauntan,W6
Penolong Akauntan,W7
Penolong Akauntan,W9
Penolong Akauntan,WA19
Penolong Akauntan,WA29
Penolong Akauntan,WA32
Penolong Akauntan,WA36
Penolong Akauntan,WK32
Penolong Arkitek Landskap,J5
Penolong Arkitek Landskap,JA29
Penolong Arkitek Landskap,LA29
Penolong Juruaudit,W5
Penolong Juruaudit,WA29
Penolong Jurutera,J2
Penolong Jurutera,J5
Penolong Jurutera,J6
Penolong Jurutera,J7
Penolong Jurutera,JA29
Penolong Jurutera,JA36
Penolong Jurutera,JA38
Penolong Juruukur,J5
Penolong Juruukur,J6
Penolong Juruukur,J7
Penolong Juruukur,JA29
Penolong Juruukur,JA36
Penolong Juruukur Bahan,J5
Penolong Juruukur Bahan,J6
Penolong Juruukur Bahan,J7
Penolong Juruukur Bahan,JA29
Penolong Kurator,S5
Penolong Kurator,S6
Penolong Kurator,S7
Penolong Pegawai Arkib,S5
Penolong Pegawai Arkib,S6
Penolong Pegawai Arkib,SA29
Penolong Pegawai Belia Dan Sukan,S5
Penolong Pegawai Belia Dan Sukan,S6
Penolong Pegawai Belia Dan Sukan,SA29
Penolong Pegawai Belia Dan Sukan,SA32
Penolong Pegawai Ehwal Ekonomi,E5
Penolong Pegawai Ehwal Ekonomi,E6
Penolong Pegawai Ehwal Ekonomi,E9
Penolong Pegawai Ehwal Ekonomi,EA29
Penolong Pegawai Hal Ehwal Islam,S4
Penolong Pegawai Hal Ehwal Islam,S5
Penolong Pegawai Hal Ehwal Islam,S6
Penolong Pegawai Hal Ehwal Islam,S7
Penolong Pegawai Hal Ehwal Islam,SA29
Penolong Pegawai Hidupan Liar,G5
Penolong Pegawai Hidupan Liar,GA29
Penolong Pegawai Kawalan Alam Sekitar,C5
Penolong Pegawai Kawalan Alam Sekitar,C6
Penolong Pegawai Kawalan Alam Sekitar,C7
Penolong Pegawai Keselamatan,KP5
Penolong Pegawai Kesihatan Persekitaran/Pegawai Kesihatan Persekitaran,U5
Penolong Pegawai Kesihatan Persekitaran/Pegawai Kesihatan Persekitaran,U6
Penolong Pegawai Kesihatan Persekitaran/Pegawai Kesihatan Persekitaran,U9
Penolong Pegawai Kesihatan Persekitaran/Pegawai Kesihatan Persekitaran,UA29
Penolong Pegawai Kesihatan Persekitaran/Pegawai Kesihatan Persekitaran,UA32
Penolong Pegawai Latihan,E5
Penolong Pegawai Latihan,E6
Penolong Pegawai Latihan Vokasional,DV29
Penolong Pegawai Latihan Vokasional,DV38
Penolong Pegawai Laut,A5
Penolong Pegawai Laut,A6
Penolong Pegawai Laut,A7
Penolong Pegawai Pembangunan Masyarakat,NA29
Penolong Pegawai Pembangunan Masyarakat,S5
Penolong Pegawai Pembangunan Masyarakat,S6
Penolong Pegawai Penerangan,S5
Penolong Pegawai Penerbitan,NA29
Penolong Pegawai Penguatkuasa,K5
Penolong Pegawai Penguatkuasa,KP1
Penolong Pegawai Penguatkuasa,KP29
Penolong Pegawai Penguatkuasa,KP32
Penolong Pegawai Penguatkuasa,KP5
Penolong Pegawai Penguatkuasa,KP6
Penolong Pegawai Penguatkuasa,KP7
Penolong Pegawai Penguatkuasa,N4
Penolong Pegawai Penilaian,N5
Penolong Pegawai Penilaian,W5
Penolong Pegawai Penilaian,W6
Penolong Pegawai Penilaian,W7
Penolong Pegawai Penilaian,WA29
Penolong Pegawai Penyelidik,Q5
Penolong Pegawai Penyelidik,Q6
Penolong Pegawai Penyelidik,QA29
Penolong Pegawai Penyelidik Sosial,NA29
Penolong Pegawai Perancang Bandar dan Desa,J5
Penolong Pegawai Perancang Bandar dan Desa,J7
Penolong Pegawai Perancang Bandar dan Desa,JA29
Penolong Pegawai Perikanan,G5
Penolong Pegawai Perikanan,G6
Penolong Pegawai Perikanan,G7
Penolong Pegawai Perikanan,GA29
Penolong Pegawai Pertanian,G1
Penolong Pegawai Pertanian,G5
Penolong Pegawai Pertanian,G6
Penolong Pegawai Pertanian,G7
Penolong Pegawai Pertanian,GA29
Penolong Pegawai Perubatan,G5
Penolong Pegawai Sains,C5
Penolong Pegawai Sains,C6
Penolong Pegawai Syariah,LS5
Penolong Pegawai Syariah,LS6
Penolong Pegawai Syariah,S5
Penolong Pegawai Tadbir,N2
Penolong Pegawai Tadbir,N5
Penolong Pegawai Tadbir,N6
Penolong Pegawai Tadbir,N7
Penolong Pegawai Tadbir,N9
Penolong Pegawai Tadbir,NA29
Penolong Pegawai Tadbir,NA32
Penolong Pegawai Tadbir,NA36
Penolong Pegawai Tadbir,SA29
Penolong Pegawai Tadbir,W5
Penolong Pegawai Teknologi Maklumat,F5
Penolong Pegawai Teknologi Maklumat,F6
Penolong Pegawai Teknologi Maklumat,F7
Penolong Pegawai Teknologi Maklumat,F9
Penolong Pegawai Teknologi Maklumat,FA29
Penolong Pegawai Teknologi Maklumat,FA32
Penolong Pegawai Undang-undang,L5
Penolong Pegawai Undang-undang,L6
Penolong Pegawai Undang-undang,L7
Penolong Pemelihara Hutan,G5
Penolong Pemelihara Hutan,G6
Penolong Pemelihara Hutan,G7
Penolong Pustakawan,S5
Penolong Pustakawan,S6
Penolong Pustakawan,S7
Penyelia Asrama,N1
Penyelia Asrama,NA19
Penyelia Kemajuan Masyarakat,SA19
Pereka,B1
Pereka,B9
Pustakawan,S10
Pustakawan,S12
Pustakawan,S13
Pustakawan,S9
Renjer Hutan,G1
Renjer Hutan,G2
Renjer Hutan,G3
Skim Perkhidmatan/ Jawatan,Gred
Tukang K3,RA09
Tukang Kayu/Mekanik,H2
Tukang Masak,NA01
Tukang Masak,NA04
Tukang Masak,NA19
