"","field","gred","skim","kadar"
"271","S","9","sspa",150
"272","U","1","sspa",120
"273","U","10","sspa",150
"274","U","5","sspa",120
"275","U","6","sspa",120
"276","U","9","sspa",150
"277","UA","03","sspa",120
"278","W","1","sspa",120
"279","W","10","sspa",150
"280","W","12","sspa",200
"281","W","13","sspa",200
"282","W","14","sspa",250
"283","W","2","sspa",120
"284","W","3","sspa",120
"285","W","5","sspa",120
"286","W","6","sspa",120
"287","W","7","sspa",120
"288","W","9","sspa",150
"289","WA","1","sspa",120
"290","WA","10","sspa",150
"291","WA","12","sspa",200
"292","WA","9","sspa",150
"293","Y","10","sspa",150
"294","Y","4","sspa",120
"295","Y","5","sspa",120
"296","YA","05","sspa",120
"297","YA","10","sspa",150
