"","field","gred","skim","kelas"
"225","N","11","sspa","Satu"
"226","N","12","sspa","Satu"
"227","N","13","sspa","Satu"
"228","N","14","sspa","Satu"
"229","N","2","sspa","Dua"
"230","N","3","sspa","Dua"
"231","N","4","sspa","Satu"
"232","N","5","sspa","Satu"
"233","N","6","sspa","Satu"
"234","N","7","sspa","Satu"
"235","N","9","sspa","Satu"
"236","NA","01","sspa","Dua"
"237","NA","04","sspa","Satu"
"238","NA","11","sspa","Satu"
"239","NA","14","sspa","Satu"
"240","NT","1","sspa","Dua"
"241","NT","2","sspa","Dua"
"242","NT","3","sspa","Dua"
"243","NT","5","sspa","Satu"
"244","NT","6","sspa","Satu"
"245","Q","1","sspa","Dua"
"246","Q","10","sspa","Satu"
"247","Q","12","sspa","Satu"
"248","Q","13","sspa","Satu"
"249","Q","14","sspa","Satu"
"250","Q","2","sspa","Dua"
"251","Q","3","sspa","Dua"
"252","Q","5","sspa","Satu"
"253","Q","6","sspa","Satu"
"254","Q","9","sspa","Satu"
"255","R","1","sspa","Dua"
"256","RA","01","sspa","Dua"
"257","RA","03","sspa","Dua"
"258","RA","04","sspa","Satu"
"259","RA","06","sspa","Satu"
"260","RA","09","sspa","Satu"
"261","S","1","sspa","Dua"
"262","S","10","sspa","Satu"
"263","S","12","sspa","Satu"
"264","S","13","sspa","Satu"
"265","S","2","sspa","Dua"
"266","S","3","sspa","Dua"
"267","S","4","sspa","Satu"
"268","S","5","sspa","Satu"
"269","S","6","sspa","Satu"
"270","S","7","sspa","Satu"
"271","S","9","sspa","Satu"
"272","U","1","sspa","Dua"
"273","U","10","sspa","Satu"
"274","U","5","sspa","Satu"
"275","U","6","sspa","Satu"
"276","U","9","sspa","Satu"
"277","UA","03","sspa","Dua"
"278","W","1","sspa","Dua"
"279","W","10","sspa","Satu"
"280","W","12","sspa","Satu"
"281","W","13","sspa","Satu"
"282","W","14","sspa","Satu"
"283","W","2","sspa","Dua"
"284","W","3","sspa","Dua"
"285","W","5","sspa","Satu"
"286","W","6","sspa","Satu"
"287","W","7","sspa","Satu"
"288","W","9","sspa","Satu"
"289","WA","1","sspa","Dua"
"290","WA","10","sspa","Satu"
"291","WA","12","sspa","Satu"
"292","WA","9","sspa","Satu"
"293","Y","10","sspa","Satu"
"294","Y","4","sspa","Satu"
"295","Y","5","sspa","Satu"
"296","YA","05","sspa","Satu"
"297","YA","10","sspa","Satu"
