"","field","gred","skim","kadar"
"97","VU","7","gred utama khas",60
"98","WA","41","ssm",60
"99","WA","44","ssm",60
"100","WA","48","ssm",60
"101","WA","54","ssm",60
"102","A","1","sspa",40
"103","A","2","sspa",40
"104","A","5","sspa",50
"105","A","6","sspa",50
"106","A","7","sspa",50
"107","AA","01","sspa",40
"108","AL","10","sspa",60
"109","AL","12","sspa",60
"110","AL","9","sspa",60
"111","B","1","sspa",40
"112","B","10","sspa",60
"113","B","12","sspa",60
"114","B","2","sspa",40
"115","B","3","sspa",40
"116","B","5","sspa",50
"117","B","9","sspa",60
"118","C","1","sspa",40
"119","C","10","sspa",60
"120","C","12","sspa",60
"121","C","13","sspa",60
"122","C","14","sspa",60
"123","C","2","sspa",40
"124","C","3","sspa",40
"125","C","5","sspa",50
"126","C","6","sspa",50
"127","C","7","sspa",50
"128","C","9","sspa",60
"129","DG","1","sspa",40
"130","DG","10","sspa",60
"131","DG","12","sspa",60
"132","DG","4","sspa",50
"133","DG","5","sspa",50
"134","DG","6","sspa",50
"135","DG","9","sspa",60
"136","DV","1","sspa",40
"137","E","1","sspa",40
"138","E","10","sspa",60
"139","E","12","sspa",60
"140","E","14","sspa",60
"141","E","2","sspa",40
"142","E","5","sspa",50
"143","E","6","sspa",50
"144","E","9","sspa",60
"145","F","10","sspa",60
"146","F","12","sspa",60
"147","F","13","sspa",60
"148","F","14","sspa",60
"149","F","5","sspa",50
"150","F","6","sspa",50
"151","F","7","sspa",50
"152","F","9","sspa",60
"153","FT","1","sspa",40
"154","FT","2","sspa",40
"155","FT","3","sspa",40
"156","G","1","sspa",40
"157","G","10","sspa",60
"158","G","11","sspa",60
"159","G","12","sspa",60
"160","G","13","sspa",60
"161","G","14","sspa",60
"162","G","2","sspa",40
"163","G","3","sspa",40
"164","G","5","sspa",50
"165","G","6","sspa",50
"166","G","7","sspa",50
"167","G","9","sspa",60
"168","GA","11","sspa",60
"169","GA","14","sspa",60
"170","GV","10","sspa",60
"171","GV","12","sspa",60
"172","GV","13","sspa",60
"173","GV","14","sspa",60
"174","GV","9","sspa",60
"175","H","1","sspa",40
"176","H","11","sspa",60
"177","H","2","sspa",40
"178","H","3","sspa",40
"179","HA","11","sspa",60
"180","HA","14","sspa",60
"181","J","1","sspa",40
"182","J","10","sspa",60
"183","J","12","sspa",60
"184","J","13","sspa",60
"185","J","14","sspa",60
"186","J","2","sspa",40
"187","J","3","sspa",40
"188","J","5","sspa",50
"189","J","6","sspa",50
"190","J","7","sspa",50
"191","J","9","sspa",60
"192","JA","1","sspa",40
"193","K","1","sspa",40
"194","K","2","sspa",40
"195","K","5","sspa",50
"196","KP","1","sspa",40
"197","KP","10","sspa",60
"198","KP","11","sspa",60
"199","KP","12","sspa",60
"200","KP","14","sspa",60
"201","KP","2","sspa",40
"202","KP","3","sspa",40
"203","KP","5","sspa",50
"204","KP","6","sspa",50
"205","KP","7","sspa",50
"206","KP","9","sspa",60
"207","KR","14","sspa",60
"208","L","1","sspa",40
"209","L","10","sspa",60
"210","L","12","sspa",60
"211","L","13","sspa",60
"212","L","14","sspa",60
"213","L","2","sspa",40
"214","L","3","sspa",40
"215","L","5","sspa",50
"216","L","6","sspa",50
"217","L","7","sspa",50
"218","L","9","sspa",60
"219","LS","12","sspa",60
"220","LS","5","sspa",50
"221","LS","6","sspa",50
"222","LS","9","sspa",60
"223","N","1","sspa",40
"224","N","10","sspa",60
"225","N","11","sspa",60
"226","N","12","sspa",60
"227","N","13","sspa",60
"228","N","14","sspa",60
"229","N","2","sspa",40
"230","N","3","sspa",40
"231","N","4","sspa",50
"232","N","5","sspa",50
"233","N","6","sspa",50
"234","N","7","sspa",50
"235","N","9","sspa",60
"236","NA","01","sspa",40
"237","NA","04","sspa",50
"238","NA","11","sspa",60
"239","NA","14","sspa",60
"240","NT","1","sspa",40
"241","NT","2","sspa",40
"242","NT","3","sspa",40
"243","NT","5","sspa",50
"244","NT","6","sspa",50
"245","Q","1","sspa",40
"246","Q","10","sspa",60
"247","Q","12","sspa",60
"248","Q","13","sspa",60
"249","Q","14","sspa",60
"250","Q","2","sspa",40
"251","Q","3","sspa",40
"252","Q","5","sspa",50
"253","Q","6","sspa",50
"254","Q","9","sspa",60
"255","R","1","sspa",40
"256","RA","01","sspa",40
"257","RA","03","sspa",40
"258","RA","04","sspa",50
"259","RA","06","sspa",50
"260","RA","09","sspa",60
"261","S","1","sspa",40
"262","S","10","sspa",60
"263","S","12","sspa",60
"264","S","13","sspa",60
"265","S","2","sspa",40
"266","S","3","sspa",40
"267","S","4","sspa",50
"268","S","5","sspa",50
"269","S","6","sspa",50
"270","S","7","sspa",50
"271","S","9","sspa",60
"272","U","1","sspa",40
"273","U","10","sspa",60
"274","U","5","sspa",50
"275","U","6","sspa",50
"276","U","9","sspa",60
"277","UA","03","sspa",40
"278","W","1","sspa",40
"279","W","10","sspa",60
"280","W","12","sspa",60
"281","W","13","sspa",60
"282","W","14","sspa",60
"283","W","2","sspa",40
"284","W","3","sspa",40
"285","W","5","sspa",50
"286","W","6","sspa",50
"287","W","7","sspa",50
"288","W","9","sspa",60
"289","WA","1","sspa",40
"290","WA","10","sspa",60
"291","WA","12","sspa",60
"292","WA","9","sspa",60
"293","Y","10","sspa",60
"294","Y","4","sspa",50
"295","Y","5","sspa",50
"296","YA","05","sspa",50
"297","YA","10","sspa",60
