"","field","gred","skim","kelas"
"131","DG","12","sspa","Ekonomi"
"132","DG","4","sspa","Ekonomi"
"133","DG","5","sspa","Ekonomi"
"134","DG","6","sspa","Ekonomi"
"135","DG","9","sspa","Ekonomi"
"136","DV","1","sspa","Ekonomi"
"137","E","1","sspa","Ekonomi"
"138","E","10","sspa","Ekonomi"
"139","E","12","sspa","Ekonomi"
"140","E","14","sspa","Ekonomi"
"141","E","2","sspa","Ekonomi"
"142","E","5","sspa","Ekonomi"
"143","E","6","sspa","Ekonomi"
"144","E","9","sspa","Ekonomi"
"145","F","10","sspa","Ekonomi"
"146","F","12","sspa","Ekonomi"
"147","F","13","sspa","Ekonomi"
"148","F","14","sspa","Ekonomi"
"149","F","5","sspa","Ekonomi"
"150","F","6","sspa","Ekonomi"
"151","F","7","sspa","Ekonomi"
"152","F","9","sspa","Ekonomi"
"153","FT","1","sspa","Ekonomi"
"154","FT","2","sspa","Ekonomi"
"155","FT","3","sspa","Ekonomi"
"156","G","1","sspa","Ekonomi"
"157","G","10","sspa","Ekonomi"
"158","G","11","sspa","Ekonomi"
"159","G","12","sspa","Ekonomi"
"160","G","13","sspa","Ekonomi"
"161","G","14","sspa","Ekonomi"
"162","G","2","sspa","Ekonomi"
"163","G","3","sspa","Ekonomi"
"164","G","5","sspa","Ekonomi"
"165","G","6","sspa","Ekonomi"
"166","G","7","sspa","Ekonomi"
"167","G","9","sspa","Ekonomi"
"168","GA","11","sspa","Ekonomi"
"169","GA","14","sspa","Ekonomi"
"170","GV","10","sspa","Ekonomi"
"171","GV","12","sspa","Ekonomi"
"172","GV","13","sspa","Ekonomi"
"173","GV","14","sspa","Ekonomi"
"174","GV","9","sspa","Ekonomi"
"175","H","1","sspa","Ekonomi"
"176","H","11","sspa","Ekonomi"
"177","H","2","sspa","Ekonomi"
"178","H","3","sspa","Ekonomi"
"179","HA","11","sspa","Ekonomi"
"180","HA","14","sspa","Ekonomi"
"181","J","1","sspa","Ekonomi"
"182","J","10","sspa","Ekonomi"
"183","J","12","sspa","Ekonomi"
"184","J","13","sspa","Ekonomi"
"185","J","14","sspa","Ekonomi"
"186","J","2","sspa","Ekonomi"
"187","J","3","sspa","Ekonomi"
"188","J","5","sspa","Ekonomi"
"189","J","6","sspa","Ekonomi"
"190","J","7","sspa","Ekonomi"
"191","J","9","sspa","Ekonomi"
"192","JA","1","sspa","Ekonomi"
"193","K","1","sspa","Ekonomi"
"194","K","2","sspa","Ekonomi"
"195","K","5","sspa","Ekonomi"
"196","KP","1","sspa","Ekonomi"
"197","KP","10","sspa","Ekonomi"
"198","KP","11","sspa","Ekonomi"
"199","KP","12","sspa","Ekonomi"
"200","KP","14","sspa","Ekonomi"
"201","KP","2","sspa","Ekonomi"
"202","KP","3","sspa","Ekonomi"
"203","KP","5","sspa","Ekonomi"
"204","KP","6","sspa","Ekonomi"
"205","KP","7","sspa","Ekonomi"
"206","KP","9","sspa","Ekonomi"
"207","KR","14","sspa","Ekonomi"
"208","L","1","sspa","Ekonomi"
"209","L","10","sspa","Ekonomi"
"210","L","12","sspa","Ekonomi"
"211","L","13","sspa","Ekonomi"
"212","L","14","sspa","Ekonomi"
"213","L","2","sspa","Ekonomi"
"214","L","3","sspa","Ekonomi"
"215","L","5","sspa","Ekonomi"
"216","L","6","sspa","Ekonomi"
"217","L","7","sspa","Ekonomi"
"218","L","9","sspa","Ekonomi"
"219","LS","12","sspa","Ekonomi"
"220","LS","5","sspa","Ekonomi"
"221","LS","6","sspa","Ekonomi"
"222","LS","9","sspa","Ekonomi"
"223","N","1","sspa","Ekonomi"
"224","N","10","sspa","Ekonomi"
"225","N","11","sspa","Ekonomi"
"226","N","12","sspa","Ekonomi"
"227","N","13","sspa","Ekonomi"
"228","N","14","sspa","Ekonomi"
"229","N","2","sspa","Ekonomi"
"230","N","3","sspa","Ekonomi"
"231","N","4","sspa","Ekonomi"
"232","N","5","sspa","Ekonomi"
"233","N","6","sspa","Ekonomi"
"234","N","7","sspa","Ekonomi"
"235","N","9","sspa","Ekonomi"
"236","NA","01","sspa","Ekonomi"
"237","NA","04","sspa","Ekonomi"
"238","NA","11","sspa","Ekonomi"
"239","NA","14","sspa","Ekonomi"
"240","NT","1","sspa","Ekonomi"
"241","NT","2","sspa","Ekonomi"
"242","NT","3","sspa","Ekonomi"
"243","NT","5","sspa","Ekonomi"
"244","NT","6","sspa","Ekonomi"
"245","Q","1","sspa","Ekonomi"
"246","Q","10","sspa","Ekonomi"
"247","Q","12","sspa","Ekonomi"
"248","Q","13","sspa","Ekonomi"
"249","Q","14","sspa","Ekonomi"
"250","Q","2","sspa","Ekonomi"
"251","Q","3","sspa","Ekonomi"
"252","Q","5","sspa","Ekonomi"
"253","Q","6","sspa","Ekonomi"
"254","Q","9","sspa","Ekonomi"
"255","R","1","sspa","Ekonomi"
"256","RA","01","sspa","Ekonomi"
"257","RA","03","sspa","Ekonomi"
"258","RA","04","sspa","Ekonomi"
"259","RA","06","sspa","Ekonomi"
"260","RA","09","sspa","Ekonomi"
"261","S","1","sspa","Ekonomi"
"262","S","10","sspa","Ekonomi"
"263","S","12","sspa","Ekonomi"
"264","S","13","sspa","Ekonomi"
"265","S","2","sspa","Ekonomi"
"266","S","3","sspa","Ekonomi"
"267","S","4","sspa","Ekonomi"
"268","S","5","sspa","Ekonomi"
"269","S","6","sspa","Ekonomi"
"270","S","7","sspa","Ekonomi"
"271","S","9","sspa","Ekonomi"
"272","U","1","sspa","Ekonomi"
"273","U","10","sspa","Ekonomi"
"274","U","5","sspa","Ekonomi"
"275","U","6","sspa","Ekonomi"
"276","U","9","sspa","Ekonomi"
"277","UA","03","sspa","Ekonomi"
"278","W","1","sspa","Ekonomi"
"279","W","10","sspa","Ekonomi"
"280","W","12","sspa","Ekonomi"
"281","W","13","sspa","Ekonomi"
"282","W","14","sspa","Ekonomi"
"283","W","2","sspa","Ekonomi"
"284","W","3","sspa","Ekonomi"
"285","W","5","sspa","Ekonomi"
"286","W","6","sspa","Ekonomi"
"287","W","7","sspa","Ekonomi"
"288","W","9","sspa","Ekonomi"
"289","WA","1","sspa","Ekonomi"
"290","WA","10","sspa","Ekonomi"
"291","WA","12","sspa","Ekonomi"
"292","WA","9","sspa","Ekonomi"
"293","Y","10","sspa","Ekonomi"
"294","Y","4","sspa","Ekonomi"
"295","Y","5","sspa","Ekonomi"
"296","YA","05","sspa","Ekonomi"
"297","YA","10","sspa","Ekonomi"
