"","field","gred","skim","kadar"
"187","J","3","sspa",90
"188","J","5","sspa",90
"189","J","6","sspa",90
"190","J","7","sspa",90
"191","J","9","sspa",100
"192","JA","1","sspa",90
"193","K","1","sspa",90
"194","K","2","sspa",90
"195","K","5","sspa",90
"196","KP","1","sspa",90
"197","KP","10","sspa",100
"198","KP","11","sspa",100
"199","KP","12","sspa",100
"200","KP","14","sspa",120
"201","KP","2","sspa",90
"202","KP","3","sspa",90
"203","KP","5","sspa",90
"204","KP","6","sspa",90
"205","KP","7","sspa",90
"206","KP","9","sspa",100
"207","KR","14","sspa",120
"208","L","1","sspa",90
"209","L","10","sspa",100
"210","L","12","sspa",100
"211","L","13","sspa",100
"212","L","14","sspa",120
"213","L","2","sspa",90
"214","L","3","sspa",90
"215","L","5","sspa",90
"216","L","6","sspa",90
"217","L","7","sspa",90
"218","L","9","sspa",100
"219","LS","12","sspa",100
"220","LS","5","sspa",90
"221","LS","6","sspa",90
"222","LS","9","sspa",100
"223","N","1","sspa",90
"224","N","10","sspa",100
"225","N","11","sspa",100
"226","N","12","sspa",100
"227","N","13","sspa",100
"228","N","14","sspa",120
"229","N","2","sspa",90
"230","N","3","sspa",90
"231","N","4","sspa",90
"232","N","5","sspa",90
"233","N","6","sspa",90
"234","N","7","sspa",90
"235","N","9","sspa",100
"236","NA","01","sspa",90
"237","NA","04","sspa",90
"238","NA","11","sspa",100
"239","NA","14","sspa",120
"240","NT","1","sspa",90
"241","NT","2","sspa",90
"242","NT","3","sspa",90
"243","NT","5","sspa",90
"244","NT","6","sspa",90
"245","Q","1","sspa",90
"246","Q","10","sspa",100
"247","Q","12","sspa",100
"248","Q","13","sspa",100
"249","Q","14","sspa",120
"250","Q","2","sspa",90
"251","Q","3","sspa",90
"252","Q","5","sspa",90
"253","Q","6","sspa",90
"254","Q","9","sspa",100
"255","R","1","sspa",90
"256","RA","01","sspa",90
"257","RA","03","sspa",90
"258","RA","04","sspa",90
"259","RA","06","sspa",90
"260","RA","09","sspa",100
"261","S","1","sspa",90
"262","S","10","sspa",100
"263","S","12","sspa",100
"264","S","13","sspa",100
"265","S","2","sspa",90
"266","S","3","sspa",90
"267","S","4","sspa",90
"268","S","5","sspa",90
"269","S","6","sspa",90
"270","S","7","sspa",90
"271","S","9","sspa",100
"272","U","1","sspa",90
"273","U","10","sspa",100
"274","U","5","sspa",90
"275","U","6","sspa",90
"276","U","9","sspa",100
"277","UA","03","sspa",90
"278","W","1","sspa",90
"279","W","10","sspa",100
"280","W","12","sspa",100
"281","W","13","sspa",100
"282","W","14","sspa",120
"283","W","2","sspa",90
"284","W","3","sspa",90
"285","W","5","sspa",90
"286","W","6","sspa",90
"287","W","7","sspa",90
"288","W","9","sspa",100
"289","WA","1","sspa",90
"290","WA","10","sspa",100
"291","WA","12","sspa",100
"292","WA","9","sspa",100
"293","Y","10","sspa",100
"294","Y","4","sspa",90
"295","Y","5","sspa",90
"296","YA","05","sspa",90
"297","YA","10","sspa",100
