"","field","gred","skim","kadar"
"125","C","5","sspa",20
"126","C","6","sspa",20
"127","C","7","sspa",20
"128","C","9","sspa",25
"129","DG","1","sspa",18
"130","DG","10","sspa",25
"131","DG","12","sspa",25
"132","DG","4","sspa",20
"133","DG","5","sspa",20
"134","DG","6","sspa",20
"135","DG","9","sspa",25
"136","DV","1","sspa",18
"137","E","1","sspa",18
"138","E","10","sspa",25
"139","E","12","sspa",25
"140","E","14","sspa",25
"141","E","2","sspa",18
"142","E","5","sspa",20
"143","E","6","sspa",20
"144","E","9","sspa",25
"145","F","10","sspa",25
"146","F","12","sspa",25
"147","F","13","sspa",25
"148","F","14","sspa",25
"149","F","5","sspa",20
"150","F","6","sspa",20
"151","F","7","sspa",20
"152","F","9","sspa",25
"153","FT","1","sspa",18
"154","FT","2","sspa",18
"155","FT","3","sspa",18
"156","G","1","sspa",18
"157","G","10","sspa",25
"158","G","11","sspa",25
"159","G","12","sspa",25
"160","G","13","sspa",25
"161","G","14","sspa",25
"162","G","2","sspa",18
"163","G","3","sspa",18
"164","G","5","sspa",20
"165","G","6","sspa",20
"166","G","7","sspa",20
"167","G","9","sspa",25
"168","GA","11","sspa",25
"169","GA","14","sspa",25
"170","GV","10","sspa",25
"171","GV","12","sspa",25
"172","GV","13","sspa",25
"173","GV","14","sspa",25
"174","GV","9","sspa",25
"175","H","1","sspa",18
"176","H","11","sspa",25
"177","H","2","sspa",18
"178","H","3","sspa",18
"179","HA","11","sspa",25
"180","HA","14","sspa",25
"181","J","1","sspa",18
"182","J","10","sspa",25
"183","J","12","sspa",25
"184","J","13","sspa",25
"185","J","14","sspa",25
"186","J","2","sspa",18
"187","J","3","sspa",18
"188","J","5","sspa",20
"189","J","6","sspa",20
"190","J","7","sspa",20
"191","J","9","sspa",25
"192","JA","1","sspa",18
"193","K","1","sspa",18
"194","K","2","sspa",18
"195","K","5","sspa",20
"196","KP","1","sspa",18
"197","KP","10","sspa",25
"198","KP","11","sspa",25
"199","KP","12","sspa",25
"200","KP","14","sspa",25
"201","KP","2","sspa",18
"202","KP","3","sspa",18
"203","KP","5","sspa",20
"204","KP","6","sspa",20
"205","KP","7","sspa",20
"206","KP","9","sspa",25
"207","KR","14","sspa",25
"208","L","1","sspa",18
"209","L","10","sspa",25
"210","L","12","sspa",25
"211","L","13","sspa",25
"212","L","14","sspa",25
"213","L","2","sspa",18
"214","L","3","sspa",18
"215","L","5","sspa",20
"216","L","6","sspa",20
"217","L","7","sspa",20
"218","L","9","sspa",25
"219","LS","12","sspa",25
"220","LS","5","sspa",20
"221","LS","6","sspa",20
"222","LS","9","sspa",25
"223","N","1","sspa",18
"224","N","10","sspa",25
"225","N","11","sspa",25
"226","N","12","sspa",25
"227","N","13","sspa",25
"228","N","14","sspa",25
"229","N","2","sspa",18
"230","N","3","sspa",18
"231","N","4","sspa",20
"232","N","5","sspa",20
"233","N","6","sspa",20
"234","N","7","sspa",20
"235","N","9","sspa",25
"236","NA","01","sspa",18
"237","NA","04","sspa",20
"238","NA","11","sspa",25
"239","NA","14","sspa",25
"240","NT","1","sspa",18
"241","NT","2","sspa",18
"242","NT","3","sspa",18
"243","NT","5","sspa",20
"244","NT","6","sspa",20
"245","Q","1","sspa",18
"246","Q","10","sspa",25
"247","Q","12","sspa",25
"248","Q","13","sspa",25
"249","Q","14","sspa",25
"250","Q","2","sspa",18
"251","Q","3","sspa",18
"252","Q","5","sspa",20
"253","Q","6","sspa",20
"254","Q","9","sspa",25
"255","R","1","sspa",18
"256","RA","01","sspa",18
"257","RA","03","sspa",18
"258","RA","04","sspa",20
"259","RA","06","sspa",20
"260","RA","09","sspa",25
"261","S","1","sspa",18
"262","S","10","sspa",25
"263","S","12","sspa",25
"264","S","13","sspa",25
"265","S","2","sspa",18
"266","S","3","sspa",18
"267","S","4","sspa",20
"268","S","5","sspa",20
"269","S","6","sspa",20
"270","S","7","sspa",20
"271","S","9","sspa",25
"272","U","1","sspa",18
"273","U","10","sspa",25
"274","U","5","sspa",20
"275","U","6","sspa",20
"276","U","9","sspa",25
"277","UA","03","sspa",18
"278","W","1","sspa",18
"279","W","10","sspa",25
"280","W","12","sspa",25
"281","W","13","sspa",25
"282","W","14","sspa",25
"283","W","2","sspa",18
"284","W","3","sspa",18
"285","W","5","sspa",20
"286","W","6","sspa",20
"287","W","7","sspa",20
"288","W","9","sspa",25
"289","WA","1","sspa",18
"290","WA","10","sspa",25
"291","WA","12","sspa",25
"292","WA","9","sspa",25
"293","Y","10","sspa",25
"294","Y","4","sspa",20
"295","Y","5","sspa",20
"296","YA","05","sspa",20
"297","YA","10","sspa",25
